insurance,owner_type,transmission_type,resale_price_Lakh
Comprehensive,First Owner,Automatic,15.5
Third Party,First Owner,Manual,15.5
Not Available,First Owner,Manual,8.25
Zero Dep,First Owner,Manual,9.37
Comprehensive,First Owner,Manual,7.15
Comprehensive,Second Owner,Automatic,9.25
Third Party,First Owner,Manual,11.95
Not Available,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,14.0
Third Party,Second Owner,Automatic,7.19
Third Party,Fourth Owner,Manual,3.0
Comprehensive,First Owner,Automatic,14.99
Not Available,First Owner,Manual,4.5
Third Party,First Owner,Manual,4.5
Comprehensive,First Owner,Automatic,18.25
Third Party,First Owner,Manual,4.6
Comprehensive,First Owner,Automatic,70.0
Third Party,First Owner,Manual,4.63
Comprehensive,Second Owner,Manual,2.85
Third Party,First Owner,Manual,11.0
Comprehensive,First Owner,Automatic,14.0
Third Party,First Owner,Automatic,7.34
Third Party,First Owner,Manual,7.75
Third Party,First Owner,Manual,3.55
Third Party,Second Owner,Manual,7.9
Comprehensive,First Owner,Manual,2.99
Third Party,Second Owner,Automatic,12.0
Comprehensive,First Owner,Manual,7.13
Third Party,First Owner,Manual,8.57
Comprehensive,First Owner,Manual,5.93
Third Party,First Owner,Automatic,13.65
Zero Dep,Second Owner,Manual,4.26
Not Available,Second Owner,Manual,4.0
Third Party,First Owner,Manual,4.95
Third Party,First Owner,Manual,5.96
Third Party,First Owner,Manual,5.54
Third Party,First Owner,Manual,5.79
Comprehensive,First Owner,Manual,3.41
Comprehensive,First Owner,Manual,11.25
Comprehensive,First Owner,Automatic,55.75
Third Party,First Owner,Manual,8.07
Third Party,First Owner,Manual,5.06
Third Party,Second Owner,Manual,9.5
Third Party,First Owner,Manual,4.8
Comprehensive,First Owner,Manual,3.98
Third Party,First Owner,Manual,6.95
Comprehensive,First Owner,Manual,5.95
Comprehensive,Second Owner,Manual,5.96
Third Party,First Owner,Manual,1.3
Third Party,Second Owner,Manual,5.73
Comprehensive,First Owner,Automatic,6.65
Third Party,Second Owner,Automatic,5.45
Comprehensive,First Owner,Automatic,44.5
Comprehensive,Second Owner,Manual,3.14
Comprehensive,First Owner,Manual,7.52
Zero Dep,First Owner,Manual,14.45
Third Party,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,1.86
Third Party,First Owner,Manual,16.5
Third Party,Third Owner,Automatic,6.1
Third Party,First Owner,Manual,2.01
Not Available,First Owner,Manual,12.5
Third Party,First Owner,Manual,2.25
Comprehensive,First Owner,Manual,4.95
Comprehensive,First Owner,Automatic,7.95
Third Party,First Owner,Manual,15.0
Comprehensive,First Owner,Manual,8.64
Third Party,First Owner,Automatic,17.8
Comprehensive,Second Owner,Automatic,5.45
Third Party,First Owner,Manual,10.75
Third Party,First Owner,Automatic,16.25
Comprehensive,First Owner,Manual,4.52
Third Party,Second Owner,Manual,3.0
Zero Dep,First Owner,Manual,6.08
Third Party,First Owner,Manual,2.8
Comprehensive,Second Owner,Manual,14.0
Third Party,Second Owner,Automatic,8.8
Comprehensive,First Owner,Manual,10.9
Third Party,First Owner,Manual,5.46
Third Party,Third Owner,Manual,2.4
Not Available,First Owner,Manual,5.88
Comprehensive,First Owner,Manual,9.5
Third Party,First Owner,Manual,5.25
Third Party,First Owner,Manual,19.0
Zero Dep,First Owner,Manual,6.13
Comprehensive,First Owner,Manual,6.35
Comprehensive,First Owner,Manual,10.8
Comprehensive,First Owner,Manual,3.51
Third Party,First Owner,Manual,3.74
Comprehensive,First Owner,Manual,2.65
Third Party,First Owner,Manual,6.56
Third Party,Third Owner,Automatic,10.0
Not Available,Second Owner,Manual,3.56
Not Available,First Owner,Manual,6.07
Third Party,First Owner,Manual,2.75
Third Party,Second Owner,Manual,2.76
Third Party,First Owner,Manual,16.5
Third Party,First Owner,Manual,3.1
Third Party,First Owner,Automatic,3.95
Comprehensive,First Owner,Manual,3.5
Comprehensive,First Owner,Automatic,28.75
Zero Dep,Second Owner,Manual,6.69
Third Party,Second Owner,Manual,5.0
Third Party,First Owner,Automatic,27.0
Comprehensive,First Owner,Manual,3.89
Comprehensive,First Owner,Automatic,8.83
Third Party,First Owner,Automatic,19.0
Comprehensive,First Owner,Manual,4.08
Third Party,First Owner,Manual,12.25
Comprehensive,First Owner,Manual,6.65
Third Party,Second Owner,Manual,3.2
Third Party,First Owner,Manual,2.85
Third Party,Third Owner,Manual,4.5
Zero Dep,First Owner,Automatic,5.18
Third Party,Second Owner,Automatic,10.5
Comprehensive,First Owner,Manual,4.55
Third Party,First Owner,Manual,7.02
Comprehensive,Second Owner,Manual,4.95
Third Party,Second Owner,Manual,6.09
Third Party,First Owner,Manual,6.0
Zero Dep,First Owner,Manual,4.46
Third Party,First Owner,Manual,4.49
Comprehensive,First Owner,Automatic,7.75
Comprehensive,First Owner,Automatic,6.75
Comprehensive,First Owner,Manual,7.27
Comprehensive,First Owner,Automatic,35.0
Third Party,First Owner,Automatic,5.09
Comprehensive,First Owner,Automatic,7.1
Comprehensive,First Owner,Manual,2.62
Third Party,First Owner,Automatic,8.5
Comprehensive,First Owner,Manual,7.25
Third Party,Second Owner,Manual,4.25
Comprehensive,First Owner,Manual,15.45
Third Party,Second Owner,Manual,1.58
Third Party,Fourth Owner,Manual,1.5
Comprehensive,First Owner,Automatic,15.72
Third Party,First Owner,Manual,3.65
Third Party,Second Owner,Automatic,3.75
Third Party,First Owner,Manual,4.89
Third Party,First Owner,Manual,22.0
Third Party,Second Owner,Automatic,5.93
Zero Dep,Second Owner,Manual,5.6
Comprehensive,First Owner,Automatic,42.5
Comprehensive,First Owner,Manual,3.24
Third Party,First Owner,Manual,4.05
Comprehensive,First Owner,Manual,2.28
Comprehensive,First Owner,Automatic,5.25
Comprehensive,First Owner,Manual,5.34
Third Party,First Owner,Manual,2.0
Comprehensive,Second Owner,Automatic,27.75
Third Party,First Owner,Automatic,17.5
Comprehensive,First Owner,Manual,8.25
Comprehensive,First Owner,Manual,12.25
Third Party,First Owner,Automatic,7.75
Third Party,Second Owner,Manual,2.0
Comprehensive,Second Owner,Manual,13.22
Third Party,Second Owner,Automatic,7.78
Third Party,First Owner,Manual,4.25
Third Party,Second Owner,Automatic,5.65
Comprehensive,First Owner,Manual,4.55
Comprehensive,First Owner,Manual,7.4
Third Party,First Owner,Manual,4.42
Comprehensive,First Owner,Manual,6.49
Comprehensive,First Owner,Manual,1.96
Third Party,Second Owner,Manual,6.0
Comprehensive,First Owner,Manual,6.75
Third Party,Second Owner,Manual,5.9
Comprehensive,First Owner,Manual,5.49
Comprehensive,First Owner,Automatic,93.5
Not Available,First Owner,Manual,4.92
Third Party,First Owner,Automatic,86.95
Not Available,First Owner,Manual,5.7
Third Party,Third Owner,Automatic,4.2
Third Party,First Owner,Automatic,16.5
Comprehensive,First Owner,Manual,3.16
Third Party,First Owner,Manual,3.12
Comprehensive,First Owner,Automatic,6.3
Comprehensive,First Owner,Automatic,6.5
Third Party,First Owner,Manual,1.3
Third Party,Second Owner,Manual,0.8
Zero Dep,First Owner,Manual,6.43
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Manual,5.8
Third Party,First Owner,Manual,1.85
Third Party,First Owner,Manual,3.6
Third Party,First Owner,Automatic,12.36
Comprehensive,First Owner,Automatic,11.6
Comprehensive,First Owner,Automatic,17.2
Third Party,Third Owner,Manual,4.5
Third Party,First Owner,Manual,6.85
Comprehensive,First Owner,Manual,3.25
Comprehensive,First Owner,Manual,6.6
Third Party,First Owner,Automatic,10.47
Third Party,First Owner,Automatic,4.86
Third Party,First Owner,Automatic,7.33
Comprehensive,First Owner,Manual,7.0
Third Party,First Owner,Manual,2.2
Third Party,First Owner,Manual,11.95
Third Party,Second Owner,Automatic,11.0
Comprehensive,First Owner,Manual,4.47
Third Party,First Owner,Manual,6.15
Third Party,Second Owner,Manual,2.8
Third Party,Second Owner,Manual,3.0
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,6.3
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,9.75
Comprehensive,First Owner,Automatic,21.9
Third Party,First Owner,Manual,5.7
Zero Dep,First Owner,Manual,5.75
Third Party,First Owner,Automatic,8.5
Third Party,First Owner,Manual,10.0
Third Party,Third Owner,Manual,1.3
Third Party,First Owner,Manual,4.1
Comprehensive,First Owner,Manual,3.52
Comprehensive,First Owner,Manual,6.99
Third Party,First Owner,Manual,2.87
Comprehensive,First Owner,Manual,4.25
Third Party,Second Owner,Manual,1.75
Third Party,First Owner,Automatic,5.0
Third Party,Second Owner,Manual,3.43
Comprehensive,First Owner,Automatic,16.99
Comprehensive,First Owner,Manual,3.8
Third Party,First Owner,Manual,5.42
Comprehensive,First Owner,Manual,1.56
Third Party,Second Owner,Automatic,3.3
Third Party,First Owner,Manual,4.9
Third Party,First Owner,Manual,5.18
Comprehensive,First Owner,Manual,8.99
Comprehensive,First Owner,Manual,7.64
Third Party,Second Owner,Manual,6.95
Comprehensive,First Owner,Automatic,16.58
Comprehensive,Second Owner,Automatic,8.3
Comprehensive,Third Owner,Automatic,11.0
Comprehensive,First Owner,Manual,5.04
Third Party,First Owner,Manual,5.73
Third Party,First Owner,Automatic,15.95
Third Party,First Owner,Manual,5.8
Third Party,First Owner,Manual,4.96
Comprehensive,First Owner,Manual,7.25
Third Party,First Owner,Manual,4.99
Comprehensive,First Owner,Automatic,15.65
Comprehensive,First Owner,Automatic,12.75
Comprehensive,First Owner,Automatic,19.11
Comprehensive,First Owner,Manual,6.97
Zero Dep,First Owner,Manual,5.29
Comprehensive,First Owner,Manual,10.88
Comprehensive,First Owner,Manual,6.81
Zero Dep,First Owner,Manual,4.82
Third Party,First Owner,Automatic,2.75
Third Party,Second Owner,Manual,3.3
Third Party,First Owner,Manual,8.25
Comprehensive,First Owner,Manual,3.63
Comprehensive,First Owner,Manual,9.31
Third Party,First Owner,Automatic,20.5
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,4.89
Third Party,Second Owner,Automatic,16.5
Comprehensive,First Owner,Manual,8.83
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,8.25
Third Party,Second Owner,Manual,6.4
Comprehensive,Second Owner,Manual,4.97
Third Party,First Owner,Manual,4.7
Comprehensive,First Owner,Manual,4.04
Third Party,First Owner,Manual,4.78
Comprehensive,First Owner,Automatic,8.75
Comprehensive,Third Owner,Automatic,6.25
Third Party,Second Owner,Automatic,10.25
Third Party,First Owner,Manual,6.62
Third Party,First Owner,Manual,11.4
Zero Dep,Second Owner,Manual,5.31
Third Party,First Owner,Manual,6.5
Third Party,First Owner,Manual,1.51
Comprehensive,Second Owner,Manual,3.18
Comprehensive,Third Owner,Automatic,7.56
Comprehensive,First Owner,Manual,7.01
Third Party,First Owner,Manual,7.85
Comprehensive,First Owner,Manual,6.25
Third Party,Third Owner,Manual,4.4
Third Party,First Owner,Automatic,14.5
Comprehensive,First Owner,Manual,2.11
Third Party,First Owner,Manual,3.73
Third Party,First Owner,Manual,5.41
Third Party,Second Owner,Manual,1.1
Third Party,First Owner,Manual,4.5
Third Party,First Owner,Manual,18.95
Comprehensive,First Owner,Automatic,76.0
Not Available,Second Owner,Manual,3.69
Third Party,First Owner,Manual,15.0
Third Party,First Owner,Manual,4.9
Third Party,First Owner,Manual,17.1
Comprehensive,First Owner,Automatic,26.9
Third Party,Second Owner,Manual,3.89
Comprehensive,Second Owner,Manual,5.0
Third Party,First Owner,Automatic,7.79
Third Party,Second Owner,Manual,3.3
Third Party,Third Owner,Manual,3.0
Zero Dep,First Owner,Manual,4.98
Comprehensive,First Owner,Automatic,8.75
Comprehensive,First Owner,Automatic,12.65
Third Party,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,7.91
Comprehensive,First Owner,Manual,16.25
Comprehensive,First Owner,Manual,13.3
Comprehensive,First Owner,Manual,4.66
Comprehensive,First Owner,Manual,5.79
Comprehensive,Second Owner,Manual,5.33
Third Party,Second Owner,Automatic,16.5
Third Party,First Owner,Automatic,18.9
Third Party,First Owner,Manual,1.1
Third Party,First Owner,Automatic,4.7
Comprehensive,First Owner,Manual,10.9
Not Available,First Owner,Manual,4.85
Comprehensive,First Owner,Manual,4.4
Comprehensive,First Owner,Automatic,44.75
Third Party,Second Owner,Manual,3.1
Third Party,Second Owner,Automatic,14.0
Third Party,Second Owner,Manual,1.2
Third Party,First Owner,Manual,7.45
Not Available,First Owner,Manual,1.25
Zero Dep,First Owner,Manual,2.8
Third Party,First Owner,Automatic,5.2
Comprehensive,First Owner,Automatic,8.96
Third Party,First Owner,Manual,4.7
Comprehensive,Second Owner,Automatic,8.14
Comprehensive,First Owner,Automatic,15.95
Third Party,Second Owner,Manual,8.05
Third Party,First Owner,Manual,5.25
Comprehensive,First Owner,Automatic,30.25
Comprehensive,First Owner,Manual,4.43
Comprehensive,First Owner,Automatic,5.5
Comprehensive,First Owner,Automatic,4.75
Third Party,First Owner,Manual,7.5
Third Party,First Owner,Manual,4.7
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Manual,5.0
Third Party,First Owner,Manual,6.08
Third Party,First Owner,Manual,7.85
Third Party,First Owner,Manual,4.5
Third Party,First Owner,Manual,8.0
Third Party,First Owner,Manual,12.15
Comprehensive,First Owner,Manual,5.2
Comprehensive,First Owner,Manual,6.25
Zero Dep,First Owner,Automatic,4.58
Comprehensive,First Owner,Manual,6.59
Third Party,First Owner,Manual,4.5
Comprehensive,First Owner,Automatic,27.85
Third Party,First Owner,Automatic,7.75
Comprehensive,First Owner,Manual,2.5
Zero Dep,First Owner,Manual,5.34
Third Party,First Owner,Manual,5.46
Third Party,Second Owner,Manual,8.0
Third Party,First Owner,Manual,3.0
Not Available,First Owner,Manual,3.4
Comprehensive,First Owner,Manual,10.1
Third Party,First Owner,Manual,5.42
Comprehensive,First Owner,Manual,5.2
Third Party,Second Owner,Automatic,5.45
Third Party,First Owner,Automatic,13.0
Third Party,First Owner,Manual,6.5
Zero Dep,First Owner,Manual,15.0
Comprehensive,First Owner,Manual,6.42
Comprehensive,Second Owner,Manual,2.25
Comprehensive,Second Owner,Manual,3.85
Third Party,First Owner,Automatic,22.95
Zero Dep,First Owner,Automatic,7.63
Third Party,Second Owner,Manual,3.97
Third Party,Second Owner,Automatic,10.0
Third Party,First Owner,Automatic,7.5
Third Party,First Owner,Manual,2.37
Comprehensive,Second Owner,Automatic,9.25
Third Party,Second Owner,Manual,4.5
Comprehensive,First Owner,Manual,4.39
Not Available,Fourth Owner,Automatic,5.0
Third Party,First Owner,Manual,6.15
Third Party,First Owner,Manual,3.14
Third Party,First Owner,Manual,5.0
Not Available,First Owner,Manual,7.7
Comprehensive,First Owner,Automatic,17.75
Third Party,First Owner,Manual,6.5
Third Party,Second Owner,Automatic,2.0
Third Party,Third Owner,Manual,4.9
Third Party,Second Owner,Manual,5.9
Third Party,First Owner,Manual,8.82
Not Available,First Owner,Manual,0.8
Third Party,Second Owner,Manual,1.6
Not Available,Third Owner,Manual,2.5
Third Party,First Owner,Manual,9.29
Comprehensive,First Owner,Manual,4.45
Third Party,First Owner,Manual,10.5
Third Party,Second Owner,Manual,3.5
Third Party,First Owner,Manual,9.85
Not Available,First Owner,Manual,4.5
Comprehensive,Second Owner,Automatic,8.0
Zero Dep,First Owner,Manual,7.49
Zero Dep,First Owner,Manual,6.15
Third Party,Second Owner,Manual,2.75
Comprehensive,First Owner,Manual,6.15
Comprehensive,Second Owner,Manual,5.97
Comprehensive,First Owner,Manual,5.76
Comprehensive,First Owner,Automatic,30.0
Third Party,First Owner,Manual,6.1
Third Party,First Owner,Automatic,5.95
Third Party,First Owner,Manual,7.0
Zero Dep,First Owner,Manual,6.47
Comprehensive,Second Owner,Manual,2.3
Third Party,Second Owner,Manual,1.1
Comprehensive,Second Owner,Manual,4.49
Comprehensive,Second Owner,Manual,2.91
Third Party,First Owner,Automatic,12.0
Third Party,First Owner,Manual,5.75
Comprehensive,First Owner,Automatic,9.25
Comprehensive,Second Owner,Automatic,4.25
Third Party,First Owner,Automatic,15.0
Third Party,First Owner,Manual,5.7
Comprehensive,First Owner,Manual,2.87
Comprehensive,First Owner,Manual,20.0
Third Party,First Owner,Manual,8.4
Comprehensive,Second Owner,Manual,3.53
Third Party,Second Owner,Manual,1.8
Third Party,First Owner,Manual,6.75
Third Party,Second Owner,Manual,0.56
Third Party,Second Owner,Manual,5.14
Third Party,Second Owner,Manual,5.3
Third Party,First Owner,Manual,1.79
Third Party,Second Owner,Automatic,13.0
Third Party,First Owner,Manual,4.06
Comprehensive,First Owner,Automatic,17.0
Comprehensive,First Owner,Automatic,6.4
Third Party,First Owner,Manual,1.9
Comprehensive,First Owner,Manual,8.65
Third Party,First Owner,Manual,3.5
Comprehensive,First Owner,Manual,14.9
Third Party,First Owner,Automatic,18.0
Third Party,Third Owner,Automatic,12.0
Comprehensive,First Owner,Manual,7.8
Third Party,First Owner,Manual,7.8
Third Party,First Owner,Manual,12.0
Third Party,First Owner,Manual,7.9
Comprehensive,Third Owner,Manual,5.25
Third Party,First Owner,Manual,9.4
Comprehensive,First Owner,Automatic,22.9
Zero Dep,First Owner,Manual,7.48
Third Party,First Owner,Manual,9.65
Third Party,Second Owner,Manual,4.3
Third Party,First Owner,Manual,3.0
Third Party,Second Owner,Manual,15.0
Comprehensive,First Owner,Automatic,39.75
Third Party,First Owner,Manual,6.25
Third Party,First Owner,Manual,5.5
Third Party,Second Owner,Manual,2.96
Comprehensive,First Owner,Manual,3.59
Third Party,Second Owner,Manual,2.91
Third Party,First Owner,Manual,3.22
Comprehensive,First Owner,Manual,4.66
Third Party,Second Owner,Automatic,5.5
Third Party,First Owner,Automatic,7.48
Comprehensive,Second Owner,Automatic,13.96
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Manual,6.0
Third Party,Second Owner,Automatic,4.2
Third Party,First Owner,Automatic,11.0
Third Party,First Owner,Manual,10.0
Third Party,First Owner,Automatic,6.35
Third Party,First Owner,Manual,7.5
Comprehensive,Second Owner,Manual,2.48
Third Party,Second Owner,Manual,11.0
Comprehensive,First Owner,Manual,6.35
Third Party,First Owner,Manual,8.0
Third Party,First Owner,Manual,4.5
Comprehensive,First Owner,Manual,8.51
Zero Dep,Second Owner,Manual,4.83
Comprehensive,Second Owner,Manual,4.35
Comprehensive,Second Owner,Manual,4.91
Comprehensive,First Owner,Manual,3.06
Third Party,Third Owner,Manual,3.11
Third Party,Second Owner,Automatic,15.0
Third Party,First Owner,Manual,6.25
Comprehensive,First Owner,Manual,2.95
Comprehensive,Second Owner,Manual,14.0
